Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
04-05-2023,Gasolina Automotriz 97 (*),"6,00","0,2028","6,2028",UTM/m3
04-05-2023,Petroleo Diesel,"1,50","2,9022","4,4022",UTM/m3
04-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3051","1,7051",UTM/m3
04-05-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,4636","2,3936",UTM/1000m3
27-04-2023,Gasolina Automotriz 93 (*),"6,00","-0,1183","5,8817",UTM/m3
27-04-2023,Gasolina Automotriz 97 (*),"6,00","-0,6063","5,3937",UTM/m3
27-04-2023,Petroleo Diesel,"1,50","2,4166","3,9166",UTM/m3
27-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1256","1,5256",UTM/m3
27-04-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,1908","2,1208",UTM/1000m3
20-04-2023,Gasolina Automotriz 93 (*),"6,00","-0,6069","5,3931",UTM/m3
20-04-2023,Gasolina Automotriz 97 (*),"6,00","-0,9777","5,0223",UTM/m3
20-04-2023,Petroleo Diesel,"1,50","1,8753","3,3753",UTM/m3
20-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1715","1,5715",UTM/m3
20-04-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,2606","2,1906",UTM/1000m3
13-04-2023,Gasolina Automotriz 93 (*),"6,00","-0,4058","5,5942",UTM/m3
13-04-2023,Gasolina Automotriz 97 (*),"6,00","-0,5814","5,4186",UTM/m3
13-04-2023,Petroleo Diesel,"1,50","2,1518","3,6518",UTM/m3
13-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1863","1,5863",UTM/m3
13-04-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,2831","2,2131",UTM/1000m3
06-04-2023,Gasolina Automotriz 93 (*),"6,00","0,2130","6,2130",UTM/m3
06-04-2023,Gasolina Automotriz 97 (*),"6,00","0,1767","6,1767",UTM/m3
06-04-2023,Petroleo Diesel,"1,50","2,3814","3,8814",UTM/m3
06-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4522","1,8522",UTM/m3
06-04-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,6871","2,6171",UTM/1000m3
30-03-2023,Gasolina Automotriz 93 (*),"6,00","0,1191","6,1191",UTM/m3
30-03-2023,Gasolina Automotriz 97 (*),"6,00","0,1146","6,1146",UTM/m3
30-03-2023,Petroleo Diesel,"1,50","2,0406","3,5406",UTM/m3
30-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,5063","1,9063",UTM/m3
30-03-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,7693","2,6993",UTM/1000m3
23-03-2023,Gasolina Automotriz 93 (*),"6,00","-0,1491","5,8509",UTM/m3
23-03-2023,Gasolina Automotriz 97 (*),"6,00","-0,0544","5,9456",UTM/m3
23-03-2023,Petroleo Diesel,"1,50","1,9865","3,4865",UTM/m3
23-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1145","1,5145",UTM/m3
23-03-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,1740","2,1040",UTM/1000m3
16-03-2023,Gasolina Automotriz 93 (*),"6,00","-0,1103","5,8897",UTM/m3
16-03-2023,Gasolina Automotriz 97 (*),"6,00","-0,0412","5,9588",UTM/m3
16-03-2023,Petroleo Diesel,"1,50","1,8561","3,3561",UTM/m3
16-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0244","1,3756",UTM/m3
16-03-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,0371","1,8929",UTM/1000m3
09-03-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,0000",UTM/m3
09-03-2023,Gasolina Automotriz 97 (*),"6,00","0,0000","6,0000",UTM/m3
09-03-2023,Petroleo Diesel,"1,50","1,6968","3,1968",UTM/m3
09-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
09-03-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0000","1,93",UTM/1000m3
02-03-2023,Gasolina Automotriz 93 (*),"6,00","-0,1002","5,8998",UTM/m3
02-03-2023,Gasolina Automotriz 97 (*),"6,00","0,0078","6,0078",UTM/m3
02-03-2023,Petroleo Diesel,"1,50","2,3642","3,8642",UTM/m3
02-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,2322","1,1678",UTM/m3
02-03-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,3528","1,5772",UTM/1000m3
23-02-2023,Gasolina Automotriz 93 (*),"6,00","-0,2101","5,7899",UTM/m3
23-02-2023,Gasolina Automotriz 97 (*),"6,00","-0,1034","5,8966",UTM/m3
23-02-2023,Petroleo Diesel,"1,50","2,3474","3,8474",UTM/m3
23-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0158","1,4158",UTM/m3
23-02-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0240","1,9540",UTM/1000m3
16-02-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,0000",UTM/m3
16-02-2023,Gasolina Automotriz 97 (*),"6,00","0,0987","6,0987",UTM/m3
16-02-2023,Petroleo Diesel,"1,50","2,2633","3,7633",UTM/m3
16-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0292","1,3708",UTM/m3
16-02-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,0444","1,8856",UTM/1000m3
09-02-2023,Gasolina Automotriz 93 (*),"6,00","0,1438","6,1438",UTM/m3
09-02-2023,Gasolina Automotriz 97 (*),"6,00","0,2554","6,2554",UTM/m3
09-02-2023,Petroleo Diesel,"1,50","1,9054","3,4054",UTM/m3
09-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4662","0,9338",UTM/m3
